sku,vendor code
MY1909017,MMY.19
MY2209010,MMY.22
PH1209019,MPH.12
MY1809013,MMY.18
MY2209011,MMY.22
KH3409008,MKH.34
ID0109025,MID.01
MY2209011,MMY.35
MY25005014,MMY.25
ID01090026,MID.01
MY1901016,MMY.19
PH1009021,MPH.10
MY1709002,MMY.17
KH3403010,MKH.34
PH1203022,MPH.12
LZC09187,LZC.PH
PH2601008,MPH.26
ID0809026,MID.08
PH2809034,WAR.PH
PH0705007,MPH.07
PH0609009,MPH.06
KH09009,MKH.34
LZC09188,LZC.PH
PH2601008,MPH.07
PH4409004,MPH.44
MY2509015,MMY.25
ID0804022,MID.08
PH0309020,MPH.03
MTH360901,MTH.36
MTH360902,MTH.36
ID0809025,MID.08
MY1809013,MMY.25
BORA09001,BORA.PH
BORA09002,BORA.PH
undefined,undefined
